BMI,4. Age (in years),5. Height (in cms),6. Weight (in kgs), Financial insecurity faced due to lockdown,Is not being able to hangout and meet your friends and classmates in any way affecting your mental health?,quarantine impact,When did you have more free time?, How many days in a week do you practice meditation?,"19. Out of the following, choose 5 tools which you use most often these days.",happy with online classes,How would you rate your mental well being ?,mentalh_level,to
27.88761707,45,155,67,6,1,1,0,1,11,0,5,Bad,0.002788762
26.60971255,20,169,76,1,1,1,0,0,11,1,10,Good,0.002660971
20.613131,23,151,47,3,1,1,2,0,11,1,5,Bad,0.002061313
21.2244898,19,175,65,2,1,0,2,0,12,0,7,Good,0.002122449
17.95918367,20,175,55,8,1,0,0,0,17,0,4,Bad,0.001795918
22.83737024,20,170,66,8,1,0,2,0,12,0,4,Bad,0.002283737
25.2493372,19,178,80,6,1,0,0,0,9,0,5,Bad,0.002524934
18.60822306,19,184,63,1,1,0,2,0,12,0,6,Good,0.001860822
16.91944523,19,163.0846919,45,4,1,0,2,5,15,0,8,Good,0.001691945
25.29937595,19,154,60,9,0,1,0,0,9,0,9,Good,0.002529938
17.25838264,20,156,42,6,0,1,0,0,15,0,7,Good,0.001725838
22.49134948,20,170,65,7,0,2,1,4,7,1,10,Good,0.002249135
18.13201651,19,161,47,1,0,1,2,2,14,0,7,Good,0.001813202
16.97530864,19,180,55,1,1,0,0,0,14,0,4,Bad,0.001697531
18.97453196,19,154,45,3,1,0,2,2,14,1,8,Good,0.001897453
15.625,19,160,40,3,1,1,0,0,12,0,7,Good,0.0015625
21.64412071,20,155,52,5,1,0,2,0,12,0,8,Good,0.002164412
27.14798329,19,165.1,74,1,1,0,2,0,14,0,7,Good,0.002714798
22.72043837,19,173,68,3,0,1,1,0,12,0,9,Good,0.002272044
20.81165453,20,155,50,6,0,1,1,1,10,0,10,Good,0.002081165
20.24489796,18,175,62,1,1,0,1,0,8,0,9,Good,0.00202449
21.14631991,20,178,67,2,1,0,1,0,15,1,8,Good,0.002114632
20.76124567,20,170,60,4,1,0,2,3,11,0,9,Good,0.002076125
19.99466509,19,154.94,48,5,1,0,0,3,16,0,8,Good,0.001999467
27.94214333,21,156,68,8,0,0,2,4,14,0,6,Good,0.002794214
23.87511478,20,165,65,1,0,1,2,0,14,1,6,Good,0.002387511
21.1552942,19,167,59,4,0,1,2,6,3,0,8,Good,0.002115529
41.11842105,20,152,95,6,1,1,2,0,17,1,8,Good,0.004111842
29.41176471,20,170,85,4,1,0,0,0,12,0,6,Good,0.002941176
19.15708812,17,174,58,6,1,2,0,0,13,0,6,Good,0.001915709
17.7999288,20,159,45,5,0,1,2,1,14,1,6,Good,0.001779993
24.22145329,19,170,70,8,1,0,1,0,14,0,5,Bad,0.002422145
31.60321237,20,164,85,1,1,0,2,3,11,0,2,Bad,0.003160321
22.49134948,21,170,65,5,1,1,0,0,14,0,5,Bad,0.002249135
25.2493372,50,178,80,5,1,1,1,5,14,1,8,Good,0.002524934
25.95155709,19,170,75,5,1,0,2,0,7,1,5,Bad,0.002595156
20.66115702,20,154,49,5,0,2,2,0,14,0,8,Good,0.002066116
20.15621063,23,157.5,50,6,1,0,1,0,11,0,6,Good,0.002015621
15.73133614,18,171,46,1,1,0,2,2,15,0,8,Good,0.001573134
20.0617284,20,180,65,1,0,2,2,0,13,0,10,Good,0.002006173
23.95909423,19,185,82,3,0,2,1,7,3,1,10,Good,0.002395909
21.10726644,19,170,61,2,0,1,0,0,12,0,9,Good,0.002110727
20.2812331,20,172,60,3,0,1,0,0,10,1,9,Good,0.002028123
21.875,20,160,56,5,1,1,2,0,12,1,9,Good,0.0021875
21.08281329,19,154,50,5,0,0,2,3,14,1,10,Good,0.002108281
22.86236854,20,162,60,1,0,1,2,3,7,1,9,Good,0.002286237
25.66115203,22,182,85,6,1,1,2,0,13,0,9,Good,0.002566115
17.84651993,20,164,48,9,1,1,1,0,7,1,9,Good,0.001784652
26.29757785,23,170,76,9,1,0,1,0,7,0,4,Bad,0.002629758
23.67125363,19,178,75,6,1,0,2,0,9,0,6,Good,0.002367125
20.57142857,21,175,63,3,1,2,0,0,8,1,1,Bad,0.002057143
20727.04082,26,5.6,65,3,1,0,0,0,4,0,5,Bad,2.072704082
22.89281998,18,155,55,5,1,1,2,0,14,1,4,Bad,0.002289282
16.94667641,19,185,58,7,0,1,0,3,4,0,7,Good,0.001694668
18.42212006,19,172,54.5,7,1,0,1,0,15,1,5,Bad,0.001842212
19.98615384,20,180.34,65,3,0,2,1,0,7,0,9,Good,0.001998615
28.39372634,20,172,84,6,0,1,2,0,14,0,6,Good,0.002839373
25.40281608,20,166,70,8,1,0,1,0,14,0,8,Good,0.002540282
33.95061728,23,180,110,6,1,0,1,0,17,0,4,Bad,0.003395062
17.63265306,18,175,54,5,1,1,2,0,14,0,6,Good,0.001763265
26.74047664,35,146,57,10,1,0,0,0,12,0,8,Good,0.002674048
21.4532872,19,170,62,9,1,0,2,3,10,0,6,Good,0.002145329
13.88888889,21,180,45,6,1,0,2,5,11,0,8,Good,0.001388889
24.22145329,19,170,70,2,0,1,2,0,13,1,7,Good,0.002422145
20.70081674,25,163,55,7,1,0,2,5,13,1,10,Good,0.002070082
23.01117686,21,156,56,8,1,0,0,0,11,0,6,Good,0.002301118
19.94956749,19,177,62.5,5,1,1,0,0,9,0,8,Good,0.001994957
18.36547291,21,165,50,4,0,2,2,4,12,1,9,Good,0.001836547
20.15621063,19,157.5,50,5,0,2,2,7,3,1,10,Good,0.002015621
25.96454217,22,157,64,5,1,1,0,2,7,0,7,Good,0.002596454
16.78719008,18,176,52,8,1,0,0,0,1,0,4,Bad,0.001678719
29.75778547,20,170,86,10,1,1,2,0,8,0,3,Bad,0.002975779
23.14814815,21,180,75,7,0,0,2,0,11,1,10,Good,0.002314815
21.484375,21,160,55,8,1,0,1,1,8,0,4,Bad,0.002148438
21.484375,19,160,55,2,0,2,1,0,7,1,8,Good,0.002148438
30.24691358,19,180,98,3,0,1,2,0,14,1,9,Good,0.003024691
21.10726644,18,170,61,1,1,0,0,7,8,0,6,Good,0.002110727
25.390625,20,160,65,4,0,0,1,0,3,0,5,Bad,0.002539063
27.75510204,21,175,85,1,1,0,0,0,13,1,6,Good,0.00277551
12.75,14,200,51,2,0,1,2,0,4,0,9,Good,0.001275
21.64127424,19,152,50,2,0,1,0,1,8,0,6,Good,0.002164127
15.94387755,19,168,45,2,1,0,0,0,12,0,7,Good,0.001594388
20.82777614,19,154.94,50,7,0,2,1,0,11,1,7,Good,0.002082778
20.42835711,24,177,64,1,0,1,2,0,12,0,8,Good,0.002042836
29.0486565,20,153,68,1,1,0,2,4,11,0,8,Good,0.002904866
20.76124567,21,170,60,2,1,1,2,0,12,1,4,Bad,0.002076125
22.40587695,19,165,61,5,0,1,2,0,12,1,9,Good,0.002240588
19.33372992,20,164,52,5,1,1,0,0,14,0,4,Bad,0.001933373
22.03856749,21,165,60,5,0,2,2,1,11,1,6,Good,0.002203857
19.81784449,19,154,47,7,1,1,1,1,12,0,6,Good,0.001981784
22.72043837,21,173,68,5,1,0,2,5,11,1,10,Good,0.002272044
29.296875,21,160,75,10,0,0,0,0,5,0,3,Bad,0.002929688
18.30576947,19,178,58,1,1,1,1,0,12,1,9,Good,0.001830577
17.92821543,16,167,50,1,1,1,2,0,4,0,10,Good,0.001792822
15.57093426,14,170,45,1,0,2,2,0,12,1,10,Good,0.001557093
18.78829923,21,186,65,8,0,0,1,0,7,0,7,Good,0.00187883
21.52782083,18,152.4,50,5,0,1,1,0,14,0,3,Bad,0.002152782
20.19946976,19,178,64,1,0,2,1,0,3,1,10,Good,0.002019947
22.09317005,22,178,70,3,0,0,2,0,5,1,7,Good,0.002209317
19.48696145,20,168,55,2,1,2,2,0,14,1,5,Bad,0.001948696
18.00554017,19,190,65,1,0,1,1,0,12,1,10,Good,0.001800554
20.57142857,18,175,63,3,1,0,2,0,14,0,7,Good,0.002057143
24.14151925,19,155,58,2,1,0,0,0,14,1,8,Good,0.002414152
23.45679012,19,180,76,5,1,0,1,0,11,0,9,Good,0.002345679
25.38146854,20,183,85,3,1,0,2,0,12,1,8,Good,0.002538147
24.07407407,21,180,78,10,0,0,2,0,7,0,7,Good,0.002407407
20.2812331,18,172,60,1,0,1,2,0,11,0,8,Good,0.002028123
22.31327843,21,157,55,5,0,1,2,0,12,1,8,Good,0.002231328
22.03856749,21,165,60,5,1,2,2,0,11,1,8,Good,0.002203857
31.9589521,23,163.0846919,85,10,1,1,2,0,8,0,5,Bad,0.003195895
17.16184697,19,170.688,50,5,0,0,1,0,15,1,5,Bad,0.001716185
19.02497027,21,145,40,10,0,2,2,0,14,1,7,Good,0.001902497
19.26717144,15,172,57,1,0,1,2,0,6,1,10,Good,0.001926717
20.9572742,20,172,62,6,0,1,2,0,10,1,8,Good,0.002095727
20.32225287,21,166,56,7,1,2,2,2,7,0,9,Good,0.002032225
28.60476495,20,163,76,6,1,1,2,0,14,1,8,Good,0.002860476
24.87771968,37,154,59,4,0,0,0,7,4,0,4,Bad,0.002487772
25.51020408,11,140,50,6,1,1,2,0,7,1,9,Good,0.00255102
33.26706966,20,157,82,5,0,2,2,0,1,1,6,Good,0.003326707
19.13580247,41,180,62,8,0,1,2,0,9,0,9,Good,0.00191358
25.20920136,20,169,72,5,0,2,1,0,10,0,8,Good,0.00252092
21.46193662,19,178,68,4,1,0,2,0,7,0,7,Good,0.002146194
23.30109483,19,177,73,3,1,0,0,0,12,0,2,Bad,0.002330109
33.9100346,20,170,98,4,0,2,2,1,12,1,9,Good,0.003391003
25.2493372,21,178,80,6,1,1,1,0,7,1,7,Good,0.002524934
20.88888889,20,150,47,1,0,2,2,3,13,1,9,Good,0.002088889
17.50996256,20,182,58,3,1,0,2,5,10,0,8,Good,0.001750996
22.22906193,21,171,65,2,1,0,2,1,12,0,6,Good,0.002222906
16.37692114,9,126,26,2,0,0,2,0,12,0,9,Good,0.001637692
24.83564646,20,185,85,1,1,0,0,0,4,0,6,Good,0.002483565
16.12469766,7,122,24,7,1,1,2,0,1,0,10,Good,0.00161247
27.77427093,44,178,88,8,1,2,2,7,14,1,9,Good,0.002777427
21.46193662,18,178,68,9,1,0,0,0,11,0,3,Bad,0.002146194
21.90758246,21,157,54,6,1,0,1,1,14,1,9,Good,0.002190758
23.30905307,19,155,56,8,1,0,0,0,11,0,8,Good,0.002330905
23.67125363,20,178,75,6,0,2,2,0,7,0,5,Bad,0.002367125
19.47340663,20,157,48,2,1,2,0,1,6,1,8,Good,0.001947341
20.54988662,19,168,58,1,0,1,2,0,9,1,10,Good,0.002054989
15.27777778,6,120,22,4,0,1,1,0,7,0,10,Good,0.001527778
22.20633069,19,163,59,3,1,0,1,0,12,0,6,Good,0.002220633
28.4047636,34,182.88,95,5,0,1,1,0,11,1,10,Good,0.002840476
17.99307958,20,170,52,3,0,1,2,0,6,1,7,Good,0.001799308
23.1206236,19,174,70,4,1,0,2,0,10,0,7,Good,0.002312062
25.390625,42,160,65,7,1,0,0,2,14,0,7,Good,0.002539063
24.91349481,21,170,72,9,1,0,0,0,11,0,5,Bad,0.002491349
21.51385851,18,167,60,8,1,0,0,0,8,0,4,Bad,0.002151386
22.47339547,10,123,34,7,0,1,2,0,10,1,9,Good,0.00224734
17.35891933,22,178,55,5,0,1,1,0,4,1,5,Bad,0.001735892
16532.10304,21,5.1,43,4,0,0,0,4,7,0,6,Good,1.653210304
20.3125,21,160,52,7,0,1,0,7,12,0,7,Good,0.00203125
19.44444444,21,180,63,8,0,1,0,0,6,1,9,Good,0.001944444
23.17250223,22,163.0846919,61.63101604,3,1,1,1,6,11,1,7,Good,0.00231725
39.2565294,19,158,98,1,0,0,0,1,13,1,10,Good,0.003925653
29.0486565,44,153,68,3,1,0,0,3,3,1,9,Good,0.002904866
22.67573696,23,168,64,8,0,1,0,7,13,1,10,Good,0.002267574
16528.92562,15,5.5,50,1,1,0,2,2,10,1,10,Good,1.652892562
25,21,180,81,8,0,1,2,0,1,0,4,Bad,0.0025
23.1385071,21,147,50,5,1,1,2,0,9,0,9,Good,0.002313851
22.22222222,19,180,72,1,1,0,2,0,15,0,9,Good,0.002222222
12.78305332,9,148,28,5,0,1,2,0,11,1,10,Good,0.001278305
